"route_name","route_type","direction","stop_name","stop_number"
"53","Urban","GSBS4 -> ICPM1","Ras Al Khor, Comm. Complex 2","18"
"53","Urban","ICPM1 -> GSBS4","","5"
"53","Urban","ICPM1 -> GSBS4","","11"
"53","Urban","ICPM1 -> GSBS4","","14"
"BM1","Marine","MMWS1 -> MTWS1","Marina Walk Marine Transport Station 1","1"
"F08","Feeder","NTSPS1 -> DFCFC1","Al Nahda, 19A Street 1","2"
"F08","Feeder","NTSPS1 -> DFCFC1","Damascus Road 3-1","12"
"F18","Feeder","OMMST1 -> OMMST1","","5"
"F18","Feeder","OMMST1 -> OMMST1","","8"
"F20","Feeder","BBMS1 -> BBMS1","Al Wasl, Street 35, Al Ittihad Health Ce","16"
"F21","Feeder","ANMS4 -> ANMS4","","4"
"F21","Feeder","ANMS4 -> ANMS4","","7"
"F21","Feeder","ANMS4 -> ANMS4","","10"
"F21","Feeder","ANMS4 -> ANMS4","","13"
"F24","Feeder","SMS2 -> QIA3T1","","1"
"F24","Feeder","SMS2 -> QIA3T1","","4"
"F31","Feeder","TMDBST1 -> DICMSL1","","14"
"F31","Feeder","TMDBST1 -> DICMSL1","","17"
"F35","Feeder","MEMS1 -> MEMS1","Mall of the Emirates, Saleh Bin Lahej Bu","30"
"13","Urban","GSBS9 -> QSDH11","","0"
"13","Urban","GSBS9 -> QSDH11","","3"
"13","Urban","GSBS9 -> QSDH11","","6"
"13","Urban","GSBS9 -> QSDH11","Muhaisnah 2, Galadari Labour Camp 1","35"
"BM1","Marine","MPWS1 -> MTWS1","","1"
"BM2","Marine","JWTS1 -> DFCS1","","1"
"F08","Feeder","NTSPS1 -> DFCFC1","","2"
"F18","Feeder","OMMST1 -> OMMST1","","6"
"F18","Feeder","OMMST1 -> OMMST1","","9"
"F21","Feeder","ANMS4 -> ANMS4","","0"
"F21","Feeder","ANMS4 -> ANMS4","","3"
"F21","Feeder","ANMS4 -> ANMS4","","6"
"F24","Feeder","SMS2 -> QIA3T1","","2"
"F24","Feeder","SMS2 -> QIA3T1","","5"
"F24","Feeder","SMS2 -> QIA3T1","","8"
"F24","Feeder","SMS2 -> QIA3T1","Sahara Center 1","4"
"F25","Feeder","FGBMLS1 -> QCRMT1","","17"
"F25","Feeder","FGBMLS1 -> QCRMT1","","20"
"F25","Feeder","FGBMLS1 -> QCRMT1","","23"
"F25","Feeder","FGBMLS1 -> QCRMT1","","26"
"F41","Feeder","BBMSL1 -> BBMSL1","Lillian Tower 2","18"
"JLT1","Urban","DMSL1 -> DMSL1","","1"
"22","Urban","DCCT1 -> AN1T21","Dubai Womens College 1","8"
"53","Urban","ICPM1 -> GSBS4","","1"
"53","Urban","ICPM1 -> GSBS4","","4"
"53","Urban","ICPM1 -> GSBS4","","7"
"53","Urban","ICPM1 -> GSBS4","","10"
"F08","Feeder","DFCFC1 -> NTSPS1","","2"
"F08","Feeder","DFCFC1 -> NTSPS1","","5"
"F24","Feeder","QIA3T1 -> SMS2","","1"
"F24","Feeder","QIA3T1 -> SMS2","","4"
"F24","Feeder","QIA3T1 -> SMS2","","7"
"F31","Feeder","TMDBST1 -> DICMSL1","The Meadows, Dubai British School","0"
"F31","Feeder","TMDBST1 -> DICMSL1","The Springs, Entrance gate 5-1","6"
"F35","Feeder","MEMS1 -> MEMS1","Al Barsha, Veterinary Clinic 1","29"
"F41","Feeder","BBMSL1 -> BBMSL1","","8"
"F41","Feeder","BBMSL1 -> BBMSL1","","14"
"F41","Feeder","BBMSL1 -> BBMSL1","","17"
"X28","Urban","LLV1 -> DICMS1","","2"
"13","Urban","GSBS9 -> QSDH11","","5"
"13","Urban","GSBS9 -> QSDH11","","8"
"13","Urban","GSBS9 -> QSDH11","","11"
"22","Urban","DCO1 -> AN1T21","","6"
"22","Urban","DCO1 -> AN1T21","","12"
"22","Urban","DCO1 -> AN1T21","","15"
"BM1","Marine","MTWS1 -> MPWS1","Marina Terrace Marine Transport Station","0"
"BM1","Marine","MWWS1 -> MPWS1","","1"
"F08","Feeder","DFCFC1 -> NTSPS1","Dubai Police Private Kindergarten","9"
"F20","Feeder","BBMS1 -> BBMS1","Al Wasl Road, Ferdous Building 2","12"
"F25","Feeder","FGBMLS1 -> QCRMT1","","9"
"F25","Feeder","FGBMLS1 -> QCRMT1","","12"
"F25","Feeder","FGBMLS1 -> QCRMT1","","15"
"F25","Feeder","FGBMLS1 -> QCRMT1","","18"
"F25","Feeder","FGBMLS1 -> QCRMT1","Hilton Jumeria Hotel, Accomodation","11"
"F31","Feeder","TMDBST1 -> DICMSL1","","0"
"F31","Feeder","TMDBST1 -> DICMSL1","","3"
"F41","Feeder","BBMSL1 -> BBMSL1","XL Tower 2","17"
"X28","Urban","LLV1 -> DICMS1","","33"
"X28","Urban","LLV1 -> DICMS1","","36"
"X28","Urban","LLV1 -> DICMS1","Dubai Scout Mission 2","14"
"22","Urban","DCO1 -> AN1T21","","1"
"22","Urban","DCO1 -> AN1T21","","4"
"22","Urban","DCO1 -> AN1T21","","7"
"53","Urban","GSBS4 -> ICPM1","","2"
"F08","Feeder","DFCFC1 -> NTSPS1","","12"
"F08","Feeder","DFCFC1 -> NTSPS1","","18"
"F08","Feeder","NTSPS1 -> DFCFC1","DAFZA","17"
"F20","Feeder","BBMS1 -> BBMS1","Emarat, Headquarters 2, Street 35","1"
"F21","Feeder","ANMS4 -> ANMS4","Al Nahda  Metro Bus Stop 2","20"
"F25","Feeder","FGBMLS1 -> FGBMLS1","","2"
"F25","Feeder","FGBMLS1 -> FGBMLS1","","5"
"F25","Feeder","FGBMLS1 -> FGBMLS1","","8"
"F25","Feeder","FGBMLS1 -> FGBMLS1","","11"
"F28","Feeder","ETMS2 -> ETMS2","","0"
"F28","Feeder","ETMS2 -> ETMS2","White Crown Tower","10"
"F35","Feeder","MEMS1 -> MEMS1","Al Barsha, Roots Saloon 2","8"
"F35","Feeder","MEMS1 -> MEMS1","Dubai Internet City Metro Bus Stop Lands","20"
"22","Urban","DCO1 -> AN1T21","Dubai Womens College Main Entrance 2","11"
"53","Urban","GSBS4 -> ICPM1","Dubai Textile City","21"
"BM1","Marine","MPWS1 -> MTWS1","Marina Terrace Marine Transport Station","3"
"F08","Feeder","DFCFC1 -> NTSPS1","DAFZA","10"
"F08","Feeder","DFCFC1 -> NTSPS1","HH Sh.Rashid AlMaktoum Pakistan School 1","16"
"F24","Feeder","QIA3T1 -> SMS2","","2"
"F24","Feeder","QIA3T1 -> SMS2","","5"
"F24","Feeder","QIA3T1 -> SMS2","","8"
"F25","Feeder","FGBMLS1 -> QCRMT1","Al Quoz, APEX Concrete Factory","18"
"F25","Feeder","FGBMLS1 -> QCRMT1","Al Quoz, Clinical Pathology Services 1","19"
"F31","Feeder","TMDBST1 -> DICMSL1","Al Barsha Heights, Mashael Building 1","18"
"F35","Feeder","MEMS1 -> MEMS1","","25"
"F35","Feeder","MEMS1 -> MEMS1","","28"
"F35","Feeder","MEMS1 -> MEMS1","","31"
"F35","Feeder","MEMS1 -> MEMS1","Al Barsha E-2","25"
"JLT2","Urban","JLTMSL -> JLTMSL","","5"
"X28","Urban","LLV1 -> DICMS1","","0"
"X28","Urban","LLV1 -> DICMS1","","3"
"X28","Urban","LLV1 -> DICMS1","","6"
"13","Urban","GSBS9 -> QSDH11","Muhaisnah 2, Gargash Labour Camp","37"
"22","Urban","DCCT1 -> AN1T21","Stadium Metro Bus Stop 1","3"
"53","Urban","GSBS4 -> ICPM1","Al Badia, Hillside Village A-1","11"
"53","Urban","GSBS4 -> ICPM1","International City, Lake Entrance 1","22"
"53","Urban","GSBS4 -> ICPM1","International City, Post office 1","27"
"BM1","Marine","MPWS1 -> MTWS1","Marina Promenade Marine Transport Statio","0"
"F08","Feeder","NTSPS1 -> DFCFC1","","9"
"F08","Feeder","NTSPS1 -> DFCFC1","","12"
"F08","Feeder","NTSPS1 -> DFCFC1","","15"
"F25","Feeder","FGBMLS1 -> FGBMLS1","","18"
"F25","Feeder","FGBMLS1 -> FGBMLS1","","21"
"F25","Feeder","FGBMLS1 -> FGBMLS1","","24"
"F25","Feeder","FGBMLS1 -> FGBMLS1","","27"
"F25","Feeder","FGBMLS1 -> FGBMLS1","Al Quoz, Emirates Glass 1","15"
"F41","Feeder","BBMSL1 -> BBMSL1","Business Bay Metro Bus Stop Landside","19"
"JLT2","Urban","JLTMSL -> JLTMSL","JLT, Dubai Arch Tower","1"
"13","Urban","GSBS9 -> QSDH11","","9"
"13","Urban","GSBS9 -> QSDH11","","12"
"13","Urban","GSBS9 -> QSDH11","","15"
"13","Urban","GSBS9 -> QSDH11","Muhaisnah 2, Al Ghurair Labour Camp 2","32"
"22","Urban","DCO1 -> AN1T21","Al Nahda 1, Burj Al Noor 1","21"
"22","Urban","DCO1 -> AN1T21","Al Nahda, Madina Super Market 1","14"
"53","Urban","GSBS4 -> ICPM1","International City, Rivera Dreams Apartm","30"
"53","Urban","ICPM1 -> GSBS4","City Centre Metro Bus Stop 1-3","16"
"F08","Feeder","NTSPS1 -> DFCFC1","","5"
"F08","Feeder","NTSPS1 -> DFCFC1","","8"
"F08","Feeder","NTSPS1 -> DFCFC1","","11"
"F18","Feeder","OMMST1 -> OMMST1","","0"
"F18","Feeder","OMMST1 -> OMMST1","","3"
"F20","Feeder","BBMS1 -> BBMS1","","18"
"F21","Feeder","ANMS4 -> ANMS4","","12"
"F21","Feeder","ANMS4 -> ANMS4","","18"
"F21","Feeder","ANMS4 -> ANMS4","Al Nahda  Metro Bus Stop 2","0"
"F21","Feeder","ANMS4 -> ANMS4","Al Nahda, Park 2","16"
"F25","Feeder","FGBMLS1 -> FGBMLS1","ETA Profiles 2","6"
"JLT1","Urban","DMSL1 -> DMSL1","","4"
"JLT1","Urban","DMSL1 -> DMSL1","","7"
"13","Urban","GSBS9 -> QSDH11","Muhaisnah 2, Madina Supermarket 2","34"
"53","Urban","GSBS4 -> ICPM1","","21"
"53","Urban","GSBS4 -> ICPM1","","24"
"53","Urban","GSBS4 -> ICPM1","","30"
"BM1","Marine","MPWS1 -> MTWS1","","2"
"BM1","Marine","MTWS1 -> MPWS1","Marina Mall Marine Transport Station 1","2"
"BM1","Marine","MTWS1 -> MPWS1","Marina Promenade Marine Transport Statio","3"
"BM1","Marine","MWWS1 -> MPWS1","","0"
"F08","Feeder","DFCFC1 -> NTSPS1","","16"
"F08","Feeder","DFCFC1 -> NTSPS1","","19"
"F08","Feeder","DFCFC1 -> NTSPS1","","22"
"F08","Feeder","DFCFC1 -> NTSPS1","Al Nahda, Motawa Bldg","21"
"F08","Feeder","DFCFC1 -> NTSPS1","ENOC, Quds Street","8"
"F08","Feeder","NTSPS1 -> DFCFC1","Emirates Metro Bus Stop 1","19"
"F20","Feeder","BBMS1 -> BBMS1","Al Safa, Street 13A-1","9"
"F25","Feeder","FGBMLS1 -> FGBMLS1","","1"
"F25","Feeder","FGBMLS1 -> FGBMLS1","","4"
"F25","Feeder","FGBMLS1 -> FGBMLS1","","7"
"F25","Feeder","FGBMLS1 -> QCRMT1","","13"
"F25","Feeder","FGBMLS1 -> QCRMT1","","16"
"F25","Feeder","FGBMLS1 -> QCRMT1","","19"
"F25","Feeder","FGBMLS1 -> QCRMT1","","22"
"F35","Feeder","MEMS1 -> MEMS1","Mall of the Emirates 2-2","3"
"22","Urban","DCO1 -> AN1T21","","14"
"22","Urban","DCO1 -> AN1T21","","17"
"22","Urban","DCO1 -> AN1T21","","20"
"22","Urban","DCO1 -> AN1T21","","23"
"22","Urban","DCO1 -> AN1T21","Stadium Metro Bus Stop 1","4"
"53","Urban","GSBS4 -> ICPM1","","9"
"53","Urban","GSBS4 -> ICPM1","","12"
"53","Urban","GSBS4 -> ICPM1","","15"
"F08","Feeder","NTSPS1 -> DFCFC1","Dubai Municipality Garage 1","20"
"F08","Feeder","NTSPS1 -> DFCFC1","Emirates Engineering 2","18"
"F21","Feeder","ANMS4 -> ANMS4","Ministry of Information 2","1"
"F25","Feeder","FGBMLS1 -> QCRMT1","","1"
"F25","Feeder","FGBMLS1 -> QCRMT1","","4"
"F25","Feeder","FGBMLS1 -> QCRMT1","","7"
"F25","Feeder","FGBMLS1 -> QCRMT1","","10"
"F28","Feeder","ETMS2 -> ETMS2","","7"
"F28","Feeder","ETMS2 -> ETMS2","","10"
"F31","Feeder","TMDBST1 -> DICMSL1","Emirates Hills Turnoff 1","7"
"X28","Urban","LLV1 -> DICMS1","Al Nahda  Metro Bus Stop 2","10"
"13","Urban","GSBS9 -> QSDH11","","26"
"13","Urban","GSBS9 -> QSDH11","","29"
"13","Urban","GSBS9 -> QSDH11","","32"
"13","Urban","GSBS9 -> QSDH11","","35"
"22","Urban","DCCT1 -> AN1T21","","19"
"22","Urban","DCCT1 -> AN1T21","","22"
"53","Urban","GSBS4 -> ICPM1","Nad Al Hamar Grand Masjid 2","17"
"BM1","Marine","MWWS1 -> MPWS1","Marina Mall Marine Transport Station 1","1"
"F08","Feeder","NTSPS1 -> DFCFC1","","22"
"F20","Feeder","BBMS1 -> BBMS1","","1"
"F20","Feeder","BBMS1 -> BBMS1","","4"
"F20","Feeder","BBMS1 -> BBMS1","","7"
"F20","Feeder","BBMS1 -> BBMS1","Al Wasl, Street 35, Dar Al Ber Society 2","14"
"F24","Feeder","SMS2 -> QIA3T1","Al Maaref Private School","2"
"F28","Feeder","ETMS2 -> ETMS2","Satwa, Post Office","7"
"F31","Feeder","TMDBST1 -> DICMSL1","","18"
"F35","Feeder","MEMS1 -> MEMS1","","5"
"F35","Feeder","MEMS1 -> MEMS1","","8"
"F35","Feeder","MEMS1 -> MEMS1","","11"
"F35","Feeder","MEMS1 -> MEMS1","","14"
"F35","Feeder","MEMS1 -> MEMS1","Regent International School 2","13"
"F41","Feeder","BBMSL1 -> BBMSL1","Business Bay Metro Bus Stop Landside","0"
"F41","Feeder","BBMSL1 -> BBMSL1","The Binary Tower 2","1"
"13","Urban","GSBS9 -> QSDH11","","10"
"13","Urban","GSBS9 -> QSDH11","","13"
"13","Urban","GSBS9 -> QSDH11","","16"
"13","Urban","GSBS9 -> QSDH11","","19"
"22","Urban","DCCT1 -> AN1T21","","6"
"22","Urban","DCCT1 -> AN1T21","","9"
"22","Urban","DCCT1 -> AN1T21","","12"
"22","Urban","DCO1 -> AN1T21","Al Nahda, Shabab Alahli Club 1","3"
"53","Urban","ICPM1 -> GSBS4","Al Badia, Entrance 2","9"
"F18","Feeder","OMMST1 -> OMMST1","","2"
"F20","Feeder","BBMS1 -> BBMS1","","14"
"F20","Feeder","BBMS1 -> BBMS1","","17"
"F21","Feeder","ANMS4 -> ANMS4","","16"
"F21","Feeder","ANMS4 -> ANMS4","","19"
"F24","Feeder","QIA3T1 -> SMS2","Ministry of Information 2","12"
"F31","Feeder","TMDBST1 -> DICMSL1","","2"
"F31","Feeder","TMDBST1 -> DICMSL1","","5"
"F31","Feeder","TMDBST1 -> DICMSL1","","8"
"F31","Feeder","TMDBST1 -> DICMSL1","","11"
"F35","Feeder","MEMS1 -> MEMS1","","21"
"F35","Feeder","MEMS1 -> MEMS1","","24"
"F35","Feeder","MEMS1 -> MEMS1","","27"
"F35","Feeder","MEMS1 -> MEMS1","","30"
"F35","Feeder","MEMS1 -> MEMS1","Mall of the Emirates 1-2","2"
"X28","Urban","LLV1 -> DICMS1","","25"
"X28","Urban","LLV1 -> DICMS1","","28"
"X28","Urban","LLV1 -> DICMS1","","31"
"X28","Urban","LLV1 -> DICMS1","","34"
"X28","Urban","LLV1 -> DICMS1","Etihad Museum 1","24"
"22","Urban","DCCT1 -> AN1T21","Dubai Womens College Main Entrance 2","10"
"53","Urban","GSBS4 -> ICPM1","Dragon Mart 2 External","19"
"BM1","Marine","MMWS1 -> MTWS1","","0"
"F08","Feeder","DFCFC1 -> NTSPS1","","4"
"F08","Feeder","DFCFC1 -> NTSPS1","","7"
"F08","Feeder","DFCFC1 -> NTSPS1","","10"
"F08","Feeder","DFCFC1 -> NTSPS1","","13"
"F08","Feeder","NTSPS1 -> DFCFC1","","1"
"F08","Feeder","NTSPS1 -> DFCFC1","","4"
"F08","Feeder","NTSPS1 -> DFCFC1","","7"
"F24","Feeder","QIA3T1 -> SMS2","","6"
"F24","Feeder","QIA3T1 -> SMS2","","9"
"F24","Feeder","QIA3T1 -> SMS2","","12"
"F25","Feeder","FGBMLS1 -> FGBMLS1","","10"
"F25","Feeder","FGBMLS1 -> FGBMLS1","","13"
"F25","Feeder","FGBMLS1 -> FGBMLS1","","16"
"F25","Feeder","FGBMLS1 -> FGBMLS1","","19"
"F25","Feeder","FGBMLS1 -> FGBMLS1","Hilton Jumeria Hotel, Accomodation","11"
"F41","Feeder","BBMSL1 -> BBMSL1","","0"
"F41","Feeder","BBMSL1 -> BBMSL1","","3"
"F41","Feeder","BBMSL1 -> BBMSL1","","6"
"F41","Feeder","BBMSL1 -> BBMSL1","","9"
"X28","Urban","LLV1 -> DICMS1","Damascus Road 3-1","6"
"13","Urban","GSBS9 -> QSDH11","Muhaisnah 2, Dubai Municipality Staff Ho","40"
"13","Urban","GSBS9 -> QSDH11","Reef Mall 1","5"
"22","Urban","DCCT1 -> AN1T21","Al Nahda, Madina Super Market 1","13"
"53","Urban","ICPM1 -> GSBS4","","21"
"53","Urban","ICPM1 -> GSBS4","","24"
"F21","Feeder","ANMS4 -> ANMS4","","20"
"F25","Feeder","FGBMLS1 -> FGBMLS1","Al Quoz, Al Shirawi Equipment Co 2","26"
"F35","Feeder","MEMS1 -> MEMS1","The Greens, Al Dhafra","15"
"F35","Feeder","MEMS1 -> MEMS1","The Greens, Terminus","16"
"F41","Feeder","BBMSL1 -> BBMSL1","Fairview Residency 2","13"
"JLT1","Urban","DMSL1 -> DMSL1","","2"
"JLT1","Urban","DMSL1 -> DMSL1","","5"
"JLT2","Urban","JLTMSL -> JLTMSL","","0"
"JLT2","Urban","JLTMSL -> JLTMSL","","3"
"JLT2","Urban","JLTMSL -> JLTMSL","","6"
"X28","Urban","LLV1 -> DICMS1","","5"
"X28","Urban","LLV1 -> DICMS1","","8"
"X28","Urban","LLV1 -> DICMS1","","11"
"X28","Urban","LLV1 -> DICMS1","","14"
"13","Urban","GSBS9 -> QSDH11","","22"
"13","Urban","GSBS9 -> QSDH11","","25"
"13","Urban","GSBS9 -> QSDH11","","28"
"13","Urban","GSBS9 -> QSDH11","Muraqqabat, Police Station 1","6"
"22","Urban","DCCT1 -> AN1T21","","0"
"22","Urban","DCCT1 -> AN1T21","","3"
"22","Urban","DCO1 -> AN1T21","Al Nahda 1, Zaafranah 1","20"
"BM2","Marine","JWTS1 -> DFCS1","Al Jaddaf Marine Transport Station 1","0"
"F18","Feeder","OMMST1 -> OMMST1","American Hospital 1","3"
"F20","Feeder","BBMS1 -> BBMS1","","5"
"F20","Feeder","BBMS1 -> BBMS1","","8"
"F20","Feeder","BBMS1 -> BBMS1","","11"
"F20","Feeder","BBMS1 -> BBMS1","Business Bay Metro Bus Stop Seaside","0"
"F25","Feeder","FGBMLS1 -> FGBMLS1","Al Quoz, Clinical Pathology Services 1","19"
"F25","Feeder","FGBMLS1 -> FGBMLS1","Al Quoz, T. Choithram Stores 1","16"
"F28","Feeder","ETMS2 -> ETMS2","Durrah Tower","11"
"F35","Feeder","MEMS1 -> MEMS1","","9"
"F35","Feeder","MEMS1 -> MEMS1","","12"
"F35","Feeder","MEMS1 -> MEMS1","","18"
"X28","Urban","LLV1 -> DICMS1","","13"
"X28","Urban","LLV1 -> DICMS1","","16"
"X28","Urban","LLV1 -> DICMS1","","19"
"X28","Urban","LLV1 -> DICMS1","","22"
"X28","Urban","LLV1 -> DICMS1","Al Jadeed Bakery 2","13"
"X28","Urban","LLV1 -> DICMS1","Al Khulafaa Al Rashideen Boys School 2","8"
"13","Urban","GSBS9 -> QSDH11","Muhaisnah 2, Entrance 1","28"
"22","Urban","DCCT1 -> AN1T21","","1"
"22","Urban","DCCT1 -> AN1T21","","4"
"22","Urban","DCCT1 -> AN1T21","","7"
"53","Urban","GSBS4 -> ICPM1","","33"
"53","Urban","ICPM1 -> GSBS4","","9"
"53","Urban","ICPM1 -> GSBS4","","12"
"53","Urban","ICPM1 -> GSBS4","","15"
"53","Urban","ICPM1 -> GSBS4","","18"
"53","Urban","ICPM1 -> GSBS4","Dubai Festival City, Festival Centre 1","14"
"F08","Feeder","NTSPS1 -> DFCFC1","Sahara Center 1","6"
"F18","Feeder","OMMST1 -> OMMST1","","1"
"F18","Feeder","OMMST1 -> OMMST1","","4"
"F18","Feeder","OMMST1 -> OMMST1","","7"
"F20","Feeder","BBMS1 -> BBMS1","Emarat, Headquarters","17"
"F21","Feeder","ANMS4 -> ANMS4","","8"
"F21","Feeder","ANMS4 -> ANMS4","","11"
"F21","Feeder","ANMS4 -> ANMS4","","14"
"F21","Feeder","ANMS4 -> ANMS4","","17"
"F24","Feeder","SMS2 -> QIA3T1","","0"
"F24","Feeder","SMS2 -> QIA3T1","","3"
"F25","Feeder","FGBMLS1 -> QCRMT1","","25"
"F25","Feeder","FGBMLS1 -> QCRMT1","7 Up Staff Accommodation 2","10"
"F35","Feeder","MEMS1 -> MEMS1","Al Barsha B-1","7"
"F35","Feeder","MEMS1 -> MEMS1","Al Barsha, Habtoor House 1","6"
"X28","Urban","LLV1 -> DICMS1","","17"
"X28","Urban","LLV1 -> DICMS1","","20"
"X28","Urban","LLV1 -> DICMS1","","23"
"X28","Urban","LLV1 -> DICMS1","","26"
"X28","Urban","LLV1 -> DICMS1","Emirates Housing 1","2"
"X28","Urban","LLV1 -> DICMS1","Majlis Al Ghoreifa 1","29"
"22","Urban","DCCT1 -> AN1T21","","10"
"22","Urban","DCCT1 -> AN1T21","","13"
"22","Urban","DCCT1 -> AN1T21","","16"
"22","Urban","DCCT1 -> AN1T21","Al Nahda 1, Terminus 1","21"
"22","Urban","DCO1 -> AN1T21","Ministry Of Human Resources & Emiratisat","8"
"53","Urban","ICPM1 -> GSBS4","","0"
"53","Urban","ICPM1 -> GSBS4","","3"
"53","Urban","ICPM1 -> GSBS4","","6"
"F08","Feeder","DFCFC1 -> NTSPS1","Dubai Festival City, Festival Centre 1","0"
"F08","Feeder","NTSPS1 -> DFCFC1","Dubai Festival City, Festival Centre 1","24"
"F20","Feeder","BBMS1 -> BBMS1","Al Safa, Street 13, Al Razi Boys School","8"
"F21","Feeder","ANMS4 -> ANMS4","Al Nahda, 12 St 2","7"
"F21","Feeder","ANMS4 -> ANMS4","Sheikh Rashid Colony 1-2","19"
"F24","Feeder","QIA3T1 -> SMS2","NMC Hospital 2","8"
"F25","Feeder","FGBMLS1 -> QCRMT1","7 Up Staff Accommodation 2","25"
"F25","Feeder","FGBMLS1 -> QCRMT1","Al Quoz, Galaxy Paper Industries","20"
"F25","Feeder","FGBMLS1 -> QCRMT1","Al Quoz, T. Choithram Stores 1","16"
"F31","Feeder","TMDBST1 -> DICMSL1","","6"
"F31","Feeder","TMDBST1 -> DICMSL1","","9"
"F31","Feeder","TMDBST1 -> DICMSL1","","12"
"F31","Feeder","TMDBST1 -> DICMSL1","","15"
"F31","Feeder","TMDBST1 -> DICMSL1","The Meadows, Town Centre 2","1"
"F35","Feeder","MEMS1 -> MEMS1","","2"
"F41","Feeder","BBMSL1 -> BBMSL1","","12"
"F41","Feeder","BBMSL1 -> BBMSL1","","15"
"F41","Feeder","BBMSL1 -> BBMSL1","","18"
"X28","Urban","LLV1 -> DICMS1","","32"
"X28","Urban","LLV1 -> DICMS1","","35"
"X28","Urban","LLV1 -> DICMS1","Burj Al Arab Hotel 1","34"
"13","Urban","GSBS9 -> QSDH11","Al Nahda, Shabab Alahli Club 1","10"
"13","Urban","GSBS9 -> QSDH11","Muhaisnah 2, Medical Centre","38"
"22","Urban","DCCT1 -> AN1T21","","14"
"22","Urban","DCCT1 -> AN1T21","","17"
